Diagnosis,ICD Code
"Pneumococcal arthritis, vertebrae",M0018
Pneumococcal polyarthritis,M0019
Other streptococcal arthritis and polyarthritis,M002
"Other streptococcal arthritis, shoulder",M0021
"Other streptococcal arthritis, elbow",M0022
"Other streptococcal arthritis, wrist",M0023
"Other streptococcal arthritis, hand",M0024
"Other streptococcal arthritis, hip",M0025
"Other streptococcal arthritis, knee",M0026
"Other streptococcal arthritis, ankle and foot",M0027
"Other streptococcal arthritis, vertebrae",M0028
Other streptococcal polyarthritis,M0029
Arthritis and polyarthritis due to other bacteria,M008
"Arthritis due to other bacteria, shoulder",M0081
"Arthritis due to other bacteria, elbow",M0082
"Arthritis due to other bacteria, wrist",M0083
"Arthritis due to other bacteria, hand",M0084
"Arthritis due to other bacteria, hip",M0085
"Arthritis due to other bacteria, knee",M0086
"Arthritis due to other bacteria, ankle and foot",M0087
"Arthritis due to other bacteria, vertebrae",M0088
Polyarthritis due to other bacteria,M0089
"Pyogenic arthritis, unspecified",M009
Direct infections of joint in infectious and parasitic diseases classified elsewhere,M01
Direct infection of joint in infectious and parasitic diseases classified elsewhere,M01X
Direct infection of shoulder joint in infectious and parasitic diseases classified elsewhere,M01X1
Direct infection of elbow in infectious and parasitic diseases classified elsewhere,M01X2
Direct infection of wrist in infectious and parasitic diseases classified elsewhere,M01X3
Direct infection of hand in infectious and parasitic diseases classified elsewhere,M01X4
Direct infection of hip in infectious and parasitic diseases classified elsewhere,M01X5
Direct infection of knee in infectious and parasitic diseases classified elsewhere,M01X6
Direct infection of ankle and foot in infectious and parasitic diseases classified elsewhere,M01X7
Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere,M01X8
Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere,M01X9
Postinfective and reactive arthropathies,M02
Arthropathy following intestinal bypass,M020
"Arthropathy following intestinal bypass, shoulder",M0201
"Arthropathy following intestinal bypass, elbow",M0202
"Arthropathy following intestinal bypass, wrist",M0203
"Arthropathy following intestinal bypass, hand",M0204
"Arthropathy following intestinal bypass, hip",M0205
"Arthropathy following intestinal bypass, knee",M0206
"Arthropathy following intestinal bypass, ankle and foot",M0207
"Arthropathy following intestinal bypass, vertebrae",M0208
"Arthropathy following intestinal bypass, multiple sites",M0209
Postdysenteric arthropathy,M021
"Postdysenteric arthropathy, shoulder",M0211
"Postdysenteric arthropathy, elbow",M0212
"Postdysenteric arthropathy, wrist",M0213
"Postdysenteric arthropathy, hand",M0214
"Postdysenteric arthropathy, hip",M0215
"Postdysenteric arthropathy, knee",M0216
"Postdysenteric arthropathy, ankle and foot",M0217
"Postdysenteric arthropathy, vertebrae",M0218
"Postdysenteric arthropathy, multiple sites",M0219
Postimmunization arthropathy,M022
"Postimmunization arthropathy, shoulder",M0221
"Postimmunization arthropathy, elbow",M0222
"Postimmunization arthropathy, wrist",M0223
"Postimmunization arthropathy, hand",M0224
"Postimmunization arthropathy, hip",M0225
"Postimmunization arthropathy, knee",M0226
"Postimmunization arthropathy, ankle and foot",M0227
"Postimmunization arthropathy, vertebrae",M0228
"Postimmunization arthropathy, multiple sites",M0229
Reiter's disease,M023
"Reiter's disease, shoulder",M0231
"Reiter's disease, elbow",M0232
"Reiter's disease, wrist",M0233
"Reiter's disease, hand",M0234
"Reiter's disease, hip",M0235
"Reiter's disease, knee",M0236
"Reiter's disease, ankle and foot",M0237
"Reiter's disease, vertebrae",M0238
"Reiter's disease, multiple sites",M0239
Other reactive arthropathies,M028
"Other reactive arthropathies, shoulder",M0281
"Other reactive arthropathies, elbow",M0282
"Other reactive arthropathies, wrist",M0283
"Other reactive arthropathies, hand",M0284
"Other reactive arthropathies, hip",M0285
"Other reactive arthropathies, knee",M0286
"Other reactive arthropathies, ankle and foot",M0287
"Other reactive arthropathies, vertebrae",M0288
"Other reactive arthropathies, multiple sites",M0289
"Reactive arthropathy, unspecified",M029
Autoinflammatory syndromes,M04
Rheumatoid arthritis with rheumatoid factor,M05
Felty's syndrome,M050
"Felty's syndrome, shoulder",M0501
"Felty's syndrome, elbow",M0502
"Felty's syndrome, wrist",M0503
"Felty's syndrome, hand",M0504
"Felty's syndrome, hip",M0505
"Felty's syndrome, knee",M0506
"Felty's syndrome, ankle and foot",M0507
"Felty's syndrome, multiple sites",M0509
Rheumatoid lung disease with rheumatoid arthritis,M051
Rheumatoid lung disease with rheumatoid arthritis of shoulder,M0511
Rheumatoid lung disease with rheumatoid arthritis of elbow,M0512
Rheumatoid lung disease with rheumatoid arthritis of wrist,M0513
Rheumatoid lung disease with rheumatoid arthritis of hand,M0514
Rheumatoid lung disease with rheumatoid arthritis of hip,M0515
Rheumatoid lung disease with rheumatoid arthritis of knee,M0516
Rheumatoid lung disease with rheumatoid arthritis of ankle and foot,M0517
Rheumatoid lung disease with rheumatoid arthritis of multiple sites,M0519
Rheumatoid vasculitis with rheumatoid arthritis,M052
Rheumatoid vasculitis with rheumatoid arthritis of shoulder,M0521
Rheumatoid vasculitis with rheumatoid arthritis of elbow,M0522
Rheumatoid vasculitis with rheumatoid arthritis of wrist,M0523
Rheumatoid vasculitis with rheumatoid arthritis of hand,M0524
Rheumatoid vasculitis with rheumatoid arthritis of hip,M0525
Rheumatoid vasculitis with rheumatoid arthritis of knee,M0526
Rheumatoid vasculitis with rheumatoid arthritis of ankle and foot,M0527
Rheumatoid vasculitis with rheumatoid arthritis of multiple sites,M0529
Rheumatoid heart disease with rheumatoid arthritis,M053
Rheumatoid heart disease with rheumatoid arthritis of shoulder,M0531
Rheumatoid heart disease with rheumatoid arthritis of elbow,M0532
Rheumatoid heart disease with rheumatoid arthritis of wrist,M0533
Rheumatoid heart disease with rheumatoid arthritis of hand,M0534
Rheumatoid heart disease with rheumatoid arthritis of hip,M0535
Rheumatoid heart disease with rheumatoid arthritis of knee,M0536
Rheumatoid heart disease with rheumatoid arthritis of ankle and foot,M0537
Rheumatoid heart disease with rheumatoid arthritis of multiple sites,M0539
Rheumatoid myopathy with rheumatoid arthritis,M054
Rheumatoid myopathy with rheumatoid arthritis of shoulder,M0541
Rheumatoid myopathy with rheumatoid arthritis of elbow,M0542
Rheumatoid myopathy with rheumatoid arthritis of wrist,M0543
Rheumatoid myopathy with rheumatoid arthritis of hand,M0544
Rheumatoid myopathy with rheumatoid arthritis of hip,M0545
Rheumatoid myopathy with rheumatoid arthritis of knee,M0546
Rheumatoid myopathy with rheumatoid arthritis of ankle and foot,M0547
Rheumatoid myopathy with rheumatoid arthritis of multiple sites,M0549
Rheumatoid polyneuropathy with rheumatoid arthritis,M055
Rheumatoid polyneuropathy with rheumatoid arthritis of shoulder,M0551
Rheumatoid polyneuropathy with rheumatoid arthritis of elbow,M0552
Rheumatoid polyneuropathy with rheumatoid arthritis of wrist,M0553
Rheumatoid polyneuropathy with rheumatoid arthritis of hand,M0554
Rheumatoid polyneuropathy with rheumatoid arthritis of hip,M0555
Rheumatoid polyneuropathy with rheumatoid arthritis of knee,M0556
Rheumatoid polyneuropathy with rheumatoid arthritis of ankle and foot,M0557
Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,M0559
Rheumatoid arthritis with involvement of other organs and systems,M056
Rheumatoid arthritis of shoulder with involvement of other organs and systems,M0561
Rheumatoid arthritis of elbow with involvement of other organs and systems,M0562
Rheumatoid arthritis of wrist with involvement of other organs and systems,M0563
Rheumatoid arthritis of hand with involvement of other organs and systems,M0564
Rheumatoid arthritis of hip with involvement of other organs and systems,M0565
Rheumatoid arthritis of knee with involvement of other organs and systems,M0566
Rheumatoid arthritis of ankle and foot with involvement of other organs and systems,M0567
Rheumatoid arthritis of multiple sites with involvement of other organs and systems,M0569
Rheumatoid arthritis with rheumatoid factor without organ or systems involvement,M057
Rheumatoid arthritis with rheumatoid factor of shoulder without organ or systems involvement,M0571
Rheumatoid arthritis with rheumatoid factor of elbow without organ or systems involvement,M0572
Rheumatoid arthritis with rheumatoid factor of wrist without organ or systems involvement,M0573
Rheumatoid arthritis with rheumatoid factor of hand without organ or systems involvement,M0574
Rheumatoid arthritis with rheumatoid factor of hip without organ or systems involvement,M0575
Rheumatoid arthritis with rheumatoid factor of knee without organ or systems involvement,M0576
Rheumatoid arthritis with rheumatoid factor of ankle and foot without organ or systems involvement,M0577
Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,M0579
Other rheumatoid arthritis with rheumatoid factor,M058
Other rheumatoid arthritis with rheumatoid factor of shoulder,M0581
Other rheumatoid arthritis with rheumatoid factor of elbow,M0582
Other rheumatoid arthritis with rheumatoid factor of wrist,M0583
Other rheumatoid arthritis with rheumatoid factor of hand,M0584
Other rheumatoid arthritis with rheumatoid factor of hip,M0585
Other rheumatoid arthritis with rheumatoid factor of knee,M0586
Other rheumatoid arthritis with rheumatoid factor of ankle and foot,M0587
Other rheumatoid arthritis with rheumatoid factor of multiple sites,M0589
"Rheumatoid arthritis with rheumatoid factor, unspecified",M059
Other rheumatoid arthritis,M06
Rheumatoid arthritis without rheumatoid factor,M060
"Rheumatoid arthritis without rheumatoid factor, shoulder",M0601
"Rheumatoid arthritis without rheumatoid factor, elbow",M0602
"Rheumatoid arthritis without rheumatoid factor, wrist",M0603
"Rheumatoid arthritis without rheumatoid factor, hand",M0604
"Rheumatoid arthritis without rheumatoid factor, hip",M0605
"Rheumatoid arthritis without rheumatoid factor, knee",M0606
"Rheumatoid arthritis without rheumatoid factor, ankle and foot",M0607
"Rheumatoid arthritis without rheumatoid factor, vertebrae",M0608
"Rheumatoid arthritis without rheumatoid factor, multiple sites",M0609
Adult-onset Still's disease,M061
Rheumatoid bursitis,M062
"Rheumatoid bursitis, shoulder",M0621
"Rheumatoid bursitis, elbow",M0622
"Rheumatoid bursitis, wrist",M0623
"Rheumatoid bursitis, hand",M0624
"Rheumatoid bursitis, hip",M0625
"Rheumatoid bursitis, knee",M0626
"Rheumatoid bursitis, ankle and foot",M0627
"Rheumatoid bursitis, vertebrae",M0628
"Rheumatoid bursitis, multiple sites",M0629
Rheumatoid nodule,M063
"Rheumatoid nodule, shoulder",M0631
"Rheumatoid nodule, elbow",M0632
"Rheumatoid nodule, wrist",M0633
"Rheumatoid nodule, hand",M0634
"Rheumatoid nodule, hip",M0635
"Rheumatoid nodule, knee",M0636
"Rheumatoid nodule, ankle and foot",M0637
"Rheumatoid nodule, vertebrae",M0638
"Rheumatoid nodule, multiple sites",M0639
Inflammatory polyarthropathy,M064
Other specified rheumatoid arthritis,M068
"Other specified rheumatoid arthritis, shoulder",M0681
"Other specified rheumatoid arthritis, elbow",M0682
"Other specified rheumatoid arthritis, wrist",M0683
"Other specified rheumatoid arthritis, hand",M0684
"Other specified rheumatoid arthritis, hip",M0685
"Other specified rheumatoid arthritis, knee",M0686
"Other specified rheumatoid arthritis, ankle and foot",M0687
"Other specified rheumatoid arthritis, vertebrae",M0688
"Other specified rheumatoid arthritis, multiple sites",M0689
"Rheumatoid arthritis, unspecified",M069
Enteropathic arthropathies,M07
Enteropathic arthropathies,M076
"Enteropathic arthropathies, shoulder",M0761
"Enteropathic arthropathies, elbow",M0762
"Enteropathic arthropathies, wrist",M0763
"Enteropathic arthropathies, hand",M0764
"Enteropathic arthropathies, hip",M0765
"Enteropathic arthropathies, knee",M0766
"Enteropathic arthropathies, ankle and foot",M0767
"Enteropathic arthropathies, vertebrae",M0768
"Enteropathic arthropathies, multiple sites",M0769
Juvenile arthritis,M08
Unspecified juvenile rheumatoid arthritis,M080
"Unspecified juvenile rheumatoid arthritis, shoulder",M0801
Unspecified juvenile rheumatoid arthritis of elbow,M0802
"Unspecified juvenile rheumatoid arthritis, wrist",M0803
"Unspecified juvenile rheumatoid arthritis, hand",M0804
"Unspecified juvenile rheumatoid arthritis, hip",M0805
"Unspecified juvenile rheumatoid arthritis, knee",M0806
"Unspecified juvenile rheumatoid arthritis, ankle and foot",M0807
"Unspecified juvenile rheumatoid arthritis, vertebrae",M0808
